timestamp,test,cross_track error
1744818727.4389594,long,0.011253681285716273
1744818727.4588647,long,0.010941127345960224
1744818727.4784646,long,0.010492809309554155
1744818727.4977944,long,0.009928363291135693
1744818727.5195336,long,0.009069989285598101
1744818727.5389774,long,0.008056556817832052
1744818727.5586286,long,0.007166736269059075
1744818727.57854,long,0.0064442104565501064
1744818727.5987656,long,0.005697108409832775
1744818727.619016,long,0.005047557554124195
1744818727.6387239,long,0.004538478396359661
1744818727.6585405,long,0.003987942576755924
1744818727.6785452,long,0.0034024928665515714
1744818727.6987646,long,0.002887449919360448
1744818727.718564,long,0.0024986141795328835
1744818727.7384722,long,0.0021602637013882413
1744818727.7591493,long,0.0019350543579229175
1744818727.7787213,long,0.0018554593645967305
1744818727.798838,long,0.0018794979828876404
1744818727.8185945,long,0.0021038377818946323
1744818727.838843,long,0.0023968462596242034
1744818727.858447,long,0.0026197855362154344
1744818727.8784964,long,0.002632711658455275
1744818727.8995516,long,0.002349021383029329
1744818727.9188867,long,0.0020120358273393074
1744818727.9387443,long,0.0017633838223641322
1744818727.9594028,long,0.0015705629361485926
1744818727.9783347,long,0.0013075331989449391
1744818727.9985414,long,0.000989537386356929
1744818728.0185413,long,0.000798869021918851
1744818728.0389104,long,0.0007180646072082156
1744818728.0587015,long,0.0007033417874791193
1744818728.079117,long,0.0006822920357987865
1744818728.0988152,long,0.0005780756695817898
1744818728.1193619,long,0.00039786488753928615
1744818728.138348,long,0.00018355714749102215
1744818728.1589549,long,-5.367280154430133e-05
1744818728.1788156,long,-0.0002713913728920127
1744818728.1988032,long,-0.000480566967006908
1744818728.2192433,long,-0.0006770859108563232
1744818728.23839,long,-0.0007959490226394672
1744818728.2588184,long,-0.0008398547801442663
1744818728.2785885,long,-0.0008444817366744515
1744818728.2986267,long,-0.0008084631672060791
1744818728.3185735,long,-0.0007572436596216377
1744818728.3387136,long,-0.0006440497073234727
1744818728.3587558,long,-0.0004648499625112554
1744818728.3836093,long,-0.00029847418894658485
1744818728.3988352,long,-0.0001842427427917977
1744818728.4190283,long,-0.00010527323625264792
1744818728.4392977,long,-0.00012342582359687874
1744818728.458624,long,-0.00010640979526284194
1744818728.4784558,long,-0.00020921865457486214
1744818728.498559,long,-0.0004579889321277804
1744818728.5184348,long,-0.0006950996218809478
1744818728.5393405,long,-0.0010073253348151867
1744818728.5584579,long,-0.0013981920359390158
1744818728.5791025,long,-0.0019180787279382651
1744818728.6015265,long,-0.002486154454047559
1744818728.618422,long,-0.002969078608651499
1744818728.6385033,long,-0.0034121880221823797
1744818728.6587105,long,-0.0039669072195360955
1744818728.6786892,long,-0.004558188877315087
1744818728.6985579,long,-0.00508755974340908
1744818728.7184596,long,-0.005552456862128849
1744818728.7385817,long,-0.005990349554665031
1744818728.7586987,long,-0.006455863789282704
1744818728.778805,long,-0.006900280865218576
1744818728.7984972,long,-0.007265182063459311
1744818728.8187363,long,-0.007588364189039281
1744818728.8378694,long,-0.00784488507194693
1744818728.8584719,long,-0.008035073015907094
1744818728.8785007,long,-0.008144147608221849
1744818728.8991604,long,-0.008221206906163903
1744818728.9187038,long,-0.008246650477869375
1744818728.9383671,long,-0.008211363110773955
1744818728.9583683,long,-0.008123473035592662
1744818728.9784482,long,-0.00802084129636145
1744818728.9984999,long,-0.007967851498127374
1744818729.0195131,long,-0.00792442341770247
1744818729.0390277,long,-0.007828587190668914
1744818729.059231,long,-0.007639743190838834
1744818729.0789192,long,-0.007408440066706876
1744818729.0985622,long,-0.0071859865336733756
1744818729.1183708,long,-0.006922255780437734
1744818729.1385343,long,-0.006539427182961149
1744818729.159266,long,-0.006008012992457112
1744818729.179304,long,-0.00554563922481176
1744818729.198919,long,-0.005283304012338218
1744818729.2191854,long,-0.005060081380322148
1744818729.2393901,long,-0.004828163494965263
1744818729.2584863,long,-0.0045449602550968315
1744818729.278609,long,-0.0041651299899006415
1744818729.2986338,long,-0.0038854676710115
1744818729.3189468,long,-0.0035637603577015485
1744818729.3398573,long,-0.003201015727191067
1744818729.3587162,long,-0.0029171461632892114
1744818729.379016,long,-0.0026947389475725373
1744818729.398718,long,-0.0025744898813553877
1744818729.4184186,long,-0.0024396815225681302
1744818729.4392443,long,-0.0023428432082636713
1744818729.4589543,long,-0.002320287771210585
1744818729.4784448,long,-0.0022588355295931743
1744818729.4988616,long,-0.00215912830861769
1744818729.5187263,long,-0.0020588542579503535
1744818729.538798,long,-0.0019140433781394605
1744818729.558558,long,-0.0016756664679346916
1744818729.5784798,long,-0.0013230340648375674
1744818729.5988343,long,-0.0009113996727673603
1744818729.619508,long,-0.0006178546305102843
1744818729.6391275,long,-0.0005931725572839497
1744818729.659397,long,-0.0007677743035474692
1744818729.6784031,long,-0.0009553141872834449
1744818729.6993296,long,-0.0011540528661937628
